estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2,
"=A30+IF(H31=H30,I31-I30,I31)/86400000","=IF(H31=H30,I31-I30,I31)",,,current,29,True,578202819,8756432,True,True,True,True,True,1013,0.034,0.923,29.87,70.45,30.1,13.6,0,0,
"=A31+IF(H32=H31,I32-I31,I32)/86400000","=IF(H32=H31,I32-I31,I32)",,,current,30,True,578202819,9057396,True,True,True,True,True,1013,0.107,2.901,29.82,70.44,30.1,13.6,0,0,
"=A32+IF(H33=H32,I33-I32,I33)/86400000","=IF(H33=H32,I33-I32,I33)",,,current,31,True,578202819,9358359,True,True,True,True,True,1013,0.0,0.0,29.82,70.5,30.1,13.5,0,0,
"=A33+IF(H34=H33,I34-I33,I34)/86400000","=IF(H34=H33,I34-I33,I34)",,,current,32,True,578202819,9659326,True,True,True,True,True,1013,0.0,0.0,29.8,70.46,30.0,13.6,0,0,
"=A34+IF(H35=H34,I35-I34,I35)/86400000","=IF(H35=H34,I35-I34,I35)",,,current,33,True,578202819,9960294,True,True,True,True,True,1013,0.0,0.0,29.84,70.49,30.0,13.6,0,0,
"=A35+IF(H36=H35,I36-I35,I36)/86400000","=IF(H36=H35,I36-I35,I36)",,,current,34,True,578202819,10261264,True,True,True,True,True,1012,0.028,0.758,29.81,70.53,30.0,13.6,0,0,
"=A36+IF(H37=H36,I37-I36,I37)/86400000","=IF(H37=H36,I37-I36,I37)",,,current,35,True,578202819,10562236,True,True,True,True,True,1013,0.0,0.0,29.8,70.62,30.0,13.5,0,0,
"=A37+IF(H38=H37,I38-I37,I38)/86400000","=IF(H38=H37,I38-I37,I38)",,,current,36,True,578202819,10863209,True,True,True,True,True,1013,0.0,0.0,29.8,70.58,30.0,13.5,0,0,
"=A38+IF(H39=H38,I39-I38,I39)/86400000","=IF(H39=H38,I39-I38,I39)",,,current,37,True,578202819,11164184,True,True,True,True,True,1013,0.0,0.0,29.76,70.61,30.0,13.6,0,0,
"=A39+IF(H40=H39,I40-I39,I40)/86400000","=IF(H40=H39,I40-I39,I40)",,,current,38,True,578202819,11465191,True,True,True,True,True,1012,0.121,3.264,29.74,70.62,30.0,13.6,0,0,
"=A40+IF(H41=H40,I41-I40,I41)/86400000","=IF(H41=H40,I41-I40,I41)",,,current,39,True,578202819,11766144,True,True,True,True,True,1012,0.0,0.0,29.69,70.65,30.0,13.6,0,0,
"=A41+IF(H42=H41,I42-I41,I42)/86400000","=IF(H42=H41,I42-I41,I42)",,,current,40,True,578202819,12067099,True,True,True,True,True,1013,0.0,0.0,29.68,70.64,30.0,13.5,0,0,
"=A42+IF(H43=H42,I43-I42,I43)/86400000","=IF(H43=H42,I43-I42,I43)",,,current,41,True,578202819,12368055,True,True,True,True,True,1013,0.0,0.0,29.69,70.7,30.0,13.6,0,0,
"=A43+IF(H44=H43,I44-I43,I44)/86400000","=IF(H44=H43,I44-I43,I44)",,,current,42,True,578202819,12669014,True,True,True,True,True,1013,0.0,0.0,29.64,70.73,30.0,13.6,0,0,
"=A44+IF(H45=H44,I45-I44,I45)/86400000","=IF(H45=H44,I45-I44,I45)",,,current,43,True,578202819,12969974,True,True,True,True,True,1013,0.0,0.0,29.62,70.79,30.0,13.6,0,0,
"=A45+IF(H46=H45,I46-I45,I46)/86400000","=IF(H46=H45,I46-I45,I46)",,,current,44,True,578202819,13270936,True,True,True,True,True,1013,0.0,0.0,29.65,70.79,30.0,13.6,0,0,
"=A46+IF(H47=H46,I47-I46,I47)/86400000","=IF(H47=H46,I47-I46,I47)",,,current,45,True,578202819,13571899,True,True,True,True,True,1013,0.0,0.0,29.58,70.78,30.0,13.5,0,0,
"=A47+IF(H48=H47,I48-I47,I48)/86400000","=IF(H48=H47,I48-I47,I48)",,,current,46,True,578202819,13872864,True,True,True,True,True,1013,0.0,0.0,29.58,70.81,29.9,13.6,0,0,
"=A48+IF(H49=H48,I49-I48,I49)/86400000","=IF(H49=H48,I49-I48,I49)",,,current,47,True,578202819,14173835,True,True,True,True,True,1013,0.0,0.0,29.56,70.87,29.9,13.5,0,0,
"=A49+IF(H50=H49,I50-I49,I50)/86400000","=IF(H50=H49,I50-I49,I50)",,,current,48,True,578202819,14474805,True,True,True,True,True,1013,0.023,0.626,29.58,70.89,29.9,13.6,0,0,
"=A50+IF(H51=H50,I51-I50,I51)/86400000","=IF(H51=H50,I51-I50,I51)",,,current,49,True,578202819,14775775,True,True,True,True,True,1013,0.0,0.0,29.59,70.91,29.9,13.6,0,0,
"=A51+IF(H52=H51,I52-I51,I52)/86400000","=IF(H52=H51,I52-I51,I52)",,,current,50,True,578202819,15076747,True,True,True,True,True,1013,0.0,0.0,29.64,70.96,29.9,13.6,0,0,
"=A52+IF(H53=H52,I53-I52,I53)/86400000","=IF(H53=H52,I53-I52,I53)",,,current,51,True,578202819,15377721,True,True,True,True,True,1013,0.0,0.0,29.61,70.96,29.9,13.5,0,0,
"=A53+IF(H54=H53,I54-I53,I54)/86400000","=IF(H54=H53,I54-I53,I54)",,,current,52,True,578202819,15678698,True,True,True,True,True,1013,0.0,0.0,29.58,71.03,29.9,13.6,0,0,
"=A54+IF(H55=H54,I55-I54,I55)/86400000","=IF(H55=H54,I55-I54,I55)",,,current,53,True,578202819,15979677,True,True,True,True,True,1013,0.0,0.0,29.54,71.03,29.8,13.6,0,0,
"=A55+IF(H56=H55,I56-I55,I56)/86400000","=IF(H56=H55,I56-I55,I56)",,,current,54,True,578202819,16280687,True,True,True,True,True,1013,0.0,0.0,29.52,71.06,29.8,13.6,0,0,
"=A56+IF(H57=H56,I57-I56,I57)/86400000","=IF(H57=H56,I57-I56,I57)",,,current,55,True,578202819,16581642,True,True,True,True,True,1013,0.0,0.0,29.46,71.11,29.8,13.6,0,1,
"=A57+IF(H58=H57,I58-I57,I58)/86400000","=IF(H58=H57,I58-I57,I58)",,,current,56,True,578202819,16882598,True,True,True,True,True,1013,0.0,0.0,29.46,71.07,29.8,13.6,0,1,
"=A58+IF(H59=H58,I59-I58,I59)/86400000","=IF(H59=H58,I59-I58,I59)",,,current,57,True,578202819,17183557,True,True,True,True,True,1013,0.0,0.0,29.43,71.13,29.9,13.6,0,2,
"=A59+IF(H60=H59,I60-I59,I60)/86400000","=IF(H60=H59,I60-I59,I60)",,,current,58,True,578202819,17484518,True,True,True,True,True,1013,0.0,0.0,29.45,71.13,29.8,13.6,0,3,
"=A60+IF(H61=H60,I61-I60,I61)/86400000","=IF(H61=H60,I61-I60,I61)",,,current,59,True,578202819,17785481,True,True,True,True,True,1013,0.0,0.0,29.51,71.21,29.8,13.6,1,4,
"=A61+IF(H62=H61,I62-I61,I62)/86400000","=IF(H62=H61,I62-I61,I62)",,,current,60,True,578202819,18086447,True,True,True,True,True,1013,0.004,0.099,29.56,71.25,29.8,13.6,1,5,
"=A62+IF(H63=H62,I63-I62,I63)/86400000","=IF(H63=H62,I63-I62,I63)",,,current,61,True,578202819,18387414,True,True,True,True,True,1013,0.0,0.0,29.58,71.3,29.8,13.5,1,6,
"=A63+IF(H64=H63,I64-I63,I64)/86400000","=IF(H64=H63,I64-I63,I64)",,,current,62,True,578202819,18688380,True,True,True,True,True,1013,0.0,0.0,29.59,71.34,29.8,13.6,2,7,
"=A64+IF(H65=H64,I65-I64,I65)/86400000","=IF(H65=H64,I65-I64,I65)",,,current,63,True,578202819,18989349,True,True,True,True,True,1013,0.0,0.0,29.56,71.33,29.8,13.6,2,8,
"=A65+IF(H66=H65,I66-I65,I66)/86400000","=IF(H66=H65,I66-I65,I66)",,,current,64,True,578202819,19290321,True,True,True,True,True,1013,0.0,0.0,29.64,71.43,29.8,13.5,2,9,
"=A66+IF(H67=H66,I67-I66,I67)/86400000","=IF(H67=H66,I67-I66,I67)",,,current,65,True,578202819,19591296,True,True,True,True,True,1013,0.0,0.0,29.69,71.46,29.8,13.6,3,12,
"=A67+IF(H68=H67,I68-I67,I68)/86400000","=IF(H68=H67,I68-I67,I68)",,,current,66,True,578202819,19892273,True,True,True,True,True,1013,0.0,0.0,29.71,71.51,29.8,13.6,3,12,
"=A68+IF(H69=H68,I69-I68,I69)/86400000","=IF(H69=H68,I69-I68,I69)",,,current,67,True,578202819,20193250,True,True,True,True,True,1013,0.0,0.0,29.77,71.6,29.8,13.5,3,13,
"=A69+IF(H70=H69,I70-I69,I70)/86400000","=IF(H70=H69,I70-I69,I70)",,,current,68,True,578202819,20494227,True,True,True,True,True,1013,0.0,0.0,29.8,71.61,29.8,13.6,3,12,
"=A70+IF(H71=H70,I71-I70,I71)/86400000","=IF(H71=H70,I71-I70,I71)",,,current,69,True,578202819,20795207,True,True,True,True,True,1013,0.0,0.0,29.84,71.66,29.8,13.6,3,12,
"=A71+IF(H72=H71,I72-I71,I72)/86400000","=IF(H72=H71,I72-I71,I72)",,,current,70,True,578202819,21096220,True,True,True,True,True,1013,0.0,0.0,29.9,71.71,29.8,13.6,3,12,
"=A72+IF(H73=H72,I73-I72,I73)/86400000","=IF(H73=H72,I73-I72,I73)",,,current,71,True,578202819,21397178,True,True,True,True,True,1013,0.0,0.0,29.88,71.78,29.8,13.6,3,12,
"=A73+IF(H74=H73,I74-I73,I74)/86400000","=IF(H74=H73,I74-I73,I74)",,,current,72,True,578202819,21698137,True,True,True,True,True,1013,0.033,0.89,29.94,71.8,29.8,13.6,3,12,
"=A74+IF(H75=H74,I75-I74,I75)/86400000","=IF(H75=H74,I75-I74,I75)",,,current,73,True,578202819,21999099,True,True,True,True,True,1013,0.0,0.0,30.02,71.84,29.8,13.5,3,13,
"=A75+IF(H76=H75,I76-I75,I76)/86400000","=IF(H76=H75,I76-I75,I76)",,,current,74,True,578202819,22300061,True,True,True,True,True,1013,0.0,0.0,30.03,71.88,29.8,13.6,3,14,
"=A76+IF(H77=H76,I77-I76,I77)/86400000","=IF(H77=H76,I77-I76,I77)",,,current,75,True,578202819,22601027,True,True,True,True,True,1013,0.0,0.0,30.09,71.96,29.8,13.6,3,15,
"=A77+IF(H78=H77,I78-I77,I78)/86400000","=IF(H78=H77,I78-I77,I78)",,,current,76,True,578202819,22901996,True,True,True,True,True,1013,0.0,0.0,30.14,71.97,29.8,13.6,3,14,
"=A78+IF(H79=H78,I79-I78,I79)/86400000","=IF(H79=H78,I79-I78,I79)",,,current,77,True,578202819,23202962,True,True,True,True,True,1013,0.001,0.033,30.14,72.01,29.8,13.6,3,14,
"=A79+IF(H80=H79,I80-I79,I80)/86400000","=IF(H80=H79,I80-I79,I80)",,,current,78,True,578202819,23503931,True,True,True,True,True,1013,0.0,0.0,30.26,72.08,29.8,13.6,4,17,
"=A80+IF(H81=H80,I81-I80,I81)/86400000","=IF(H81=H80,I81-I80,I81)",,,current,79,True,578202819,23804903,True,True,True,True,True,1013,0.0,0.0,30.33,72.11,29.8,13.6,4,17,
"=A81+IF(H82=H81,I82-I81,I82)/86400000","=IF(H82=H81,I82-I81,I82)",,,current,80,True,578202819,24105880,True,True,True,True,True,1013,0.0,0.0,30.37,72.11,29.8,13.6,4,17,
"=A82+IF(H83=H82,I83-I82,I83)/86400000","=IF(H83=H82,I83-I82,I83)",,,current,81,True,578202819,24406861,True,True,True,True,True,1013,0.0,0.0,30.45,72.23,29.8,13.5,4,19,
"=A83+IF(H84=H83,I84-I83,I84)/86400000","=IF(H84=H83,I84-I83,I84)",,,current,82,True,578202819,24707824,True,True,True,True,True,1013,0.0,0.0,30.55,72.28,29.7,13.5,4,20,
"=A84+IF(H85=H84,I85-I84,I85)/86400000","=IF(H85=H84,I85-I84,I85)",,,current,83,True,578202819,25008789,True,True,True,True,True,1013,0.0,0.0,30.62,72.31,29.7,13.6,5,24,
"=A85+IF(H86=H85,I86-I85,I86)/86400000","=IF(H86=H85,I86-I85,I86)",,,current,84,True,578202819,25309757,True,True,True,True,True,1013,0.0,0.0,30.76,72.32,29.7,13.6,6,26,
"=A86+IF(H87=H86,I87-I86,I87)/86400000","=IF(H87=H86,I87-I86,I87)",,,current,85,True,578202819,25610728,True,True,True,True,True,1013,0.0,0.0,30.9,72.49,29.7,13.5,6,25,
"=A87+IF(H88=H87,I88-I87,I88)/86400000","=IF(H88=H87,I88-I87,I88)",,,current,86,True,578202819,25911735,True,True,True,True,True,1013,0.0,0.0,30.94,72.42,29.7,13.6,7,28,
"=A88+IF(H89=H88,I89-I88,I89)/86400000","=IF(H89=H88,I89-I88,I89)",,,current,87,True,578202819,26212681,True,True,True,True,True,1013,0.0,0.0,31.07,72.55,29.7,13.6,7,30,
"=A89+IF(H90=H89,I90-I89,I90)/86400000","=IF(H90=H89,I90-I89,I90)",,,current,88,True,578202819,26513628,True,True,True,True,True,1013,0.0,0.0,31.19,72.58,29.7,13.5,8,32,
"=A90+IF(H91=H90,I91-I90,I91)/86400000","=IF(H91=H90,I91-I90,I91)",,,current,89,True,578202819,26814577,True,True,True,True,True,1013,0.0,0.0,31.3,72.64,29.7,13.5,9,36,
"=A91+IF(H92=H91,I92-I91,I92)/86400000","=IF(H92=H91,I92-I91,I92)",,,current,90,True,578202819,27115527,True,True,True,True,True,1013,0.0,0.0,31.38,72.67,29.7,13.5,10,41,
"=A92+IF(H93=H92,I93-I92,I93)/86400000","=IF(H93=H92,I93-I92,I93)",,,current,91,True,578202819,27416481,True,True,True,True,True,1013,0.011,0.297,31.6,72.77,29.7,13.5,13,52,
"=A93+IF(H94=H93,I94-I93,I94)/86400000","=IF(H94=H93,I94-I93,I94)",,,current,92,True,578202819,27717436,True,True,True,True,True,1013,0.0,0.0,31.76,72.83,29.7,13.5,14,54,
"=A94+IF(H95=H94,I95-I94,I95)/86400000","=IF(H95=H94,I95-I94,I95)",,,current,93,True,578202819,28018396,True,True,True,True,True,1013,0.0,0.0,31.91,72.89,29.7,13.6,16,66,
"=A95+IF(H96=H95,I96-I95,I96)/86400000","=IF(H96=H95,I96-I95,I96)",,,current,94,True,578202819,28319356,True,True,True,True,True,1013,0.106,2.868,32.12,72.86,29.8,13.6,17,71,
"=A96+IF(H97=H96,I97-I96,I97)/86400000","=IF(H97=H96,I97-I96,I97)",,,current,95,True,578202819,28620319,True,True,True,True,True,1013,0.0,0.0,32.26,72.98,29.8,13.5,18,76,
"=A97+IF(H98=H97,I98-I97,I98)/86400000","=IF(H98=H97,I98-I97,I98)",,,current,96,True,578202819,28921284,True,True,True,True,True,1014,0.0,0.0,32.56,73.01,29.8,13.5,30,121,
"=A98+IF(H99=H98,I99-I98,I99)/86400000","=IF(H99=H98,I99-I98,I99)",,,current,97,True,578202819,29222249,True,True,True,True,True,1014,0.0,0.0,33.07,73.14,29.8,13.6,35,148,
"=A99+IF(H100=H99,I100-I99,I100)/86400000","=IF(H100=H99,I100-I99,I100)",,,current,98,True,578202819,29523217,True,True,True,True,True,1013,0.0,0.0,33.49,73.2,29.9,13.6,56,305,
"=A100+IF(H101=H100,I101-I100,I101)/86400000","=IF(H101=H100,I101-I100,I101)",,,current,99,True,578202819,29824186,True,True,True,True,True,1014,0.032,0.857,34.03,73.34,29.9,13.6,119,959,
"=A101+IF(H102=H101,I102-I101,I102)/86400000","=IF(H102=H101,I102-I101,I102)",,,current,100,True,578202819,30125159,True,True,True,True,True,1014,0.0,0.0,39.39,73.97,30.0,13.6,120,695,
"=A102+IF(H103=H102,I103-I102,I103)/86400000","=IF(H103=H102,I103-I102,I103)",,,current,101,True,578202819,30426134,True,True,True,True,True,1015,0.0,0.0,40.64,74.46,30.3,13.7,177,899,
"=A103+IF(H104=H103,I104-I103,I104)/86400000","=IF(H104=H103,I104-I103,I104)",,,current,102,True,578202819,30727139,True,True,True,True,True,1014,0.0,0.0,42.91,74.79,30.7,13.9,215,1014,
"=A104+IF(H105=H104,I105-I104,I105)/86400000","=IF(H105=H104,I105-I104,I105)",,,current,103,True,578202819,31028087,True,True,True,True,True,1014,0.0,0.0,44.05,75.08,31.2,13.9,222,1030,
"=A105+IF(H106=H105,I106-I105,I106)/86400000","=IF(H106=H105,I106-I105,I106)",,,current,104,True,578202819,31329037,True,True,True,True,True,1014,0.0,0.0,44.61,74.68,31.7,13.9,228,1041,
"=A106+IF(H107=H106,I107-I106,I107)/86400000","=IF(H107=H106,I107-I106,I107)",,,current,105,True,578202819,31629987,True,True,True,True,True,1015,0.0,0.0,42.57,74.41,32.1,13.9,233,1046,
"=A107+IF(H108=H107,I108-I107,I108)/86400000","=IF(H108=H107,I108-I107,I108)",,,current,106,True,578202819,31930941,True,True,True,True,True,1014,0.016,0.429,43.36,74.04,32.5,13.9,233,1049,
"=A108+IF(H109=H108,I109-I108,I109)/86400000","=IF(H109=H108,I109-I108,I109)",,,current,107,True,578202819,32231898,True,True,True,True,True,1014,0.0,0.0,43.73,73.79,32.9,13.9,235,1058,
"=A109+IF(H110=H109,I110-I109,I110)/86400000","=IF(H110=H109,I110-I109,I110)",,,current,108,True,578202819,32532858,True,True,True,True,True,1015,0.0,0.0,43.43,73.32,33.2,13.9,237,1071,
"=A110+IF(H111=H110,I111-I110,I111)/86400000","=IF(H111=H110,I111-I110,I111)",,,current,109,True,578202819,32833819,True,True,True,True,True,1015,0.0,0.0,44.64,73.12,33.5,13.9,236,1072,
"=A111+IF(H112=H111,I112-I111,I112)/86400000","=IF(H112=H111,I112-I111,I112)",,,current,110,True,578202819,33134783,True,True,True,True,True,1014,0.0,0.0,45.06,73.36,33.7,13.8,237,1084,
"=A112+IF(H113=H112,I113-I112,I113)/86400000","=IF(H113=H112,I113-I112,I113)",,,current,111,True,578202819,33435748,True,True,True,True,True,1014,0.0,0.0,47.3,73.01,33.9,13.8,246,1076,
"=A113+IF(H114=H113,I114-I113,I114)/86400000","=IF(H114=H113,I114-I113,I114)",,,current,112,True,578202819,33736715,True,True,True,True,True,1014,0.0,0.0,47.45,72.82,34.1,13.7,246,1099,
"=A114+IF(H115=H114,I115-I114,I115)/86400000","=IF(H115=H114,I115-I114,I115)",,,current,113,True,578202819,34037683,True,True,True,True,True,1014,0.0,0.0,47.72,72.11,34.2,13.6,248,1113,
"=A115+IF(H116=H115,I116-I115,I116)/86400000","=IF(H116=H115,I116-I115,I116)",,,current,114,True,578202819,34338653,True,True,True,True,True,1014,0.0,0.0,46.81,71.61,34.2,13.6,244,1113,
"=A116+IF(H117=H116,I117-I116,I117)/86400000","=IF(H117=H116,I117-I116,I117)",,,current,115,True,578202819,34639627,True,True,True,True,True,1014,0.0,0.0,48.89,71.42,34.3,13.6,240,1106,
"=A117+IF(H118=H117,I118-I117,I118)/86400000","=IF(H118=H117,I118-I117,I118)",,,current,116,True,578202819,34940602,True,True,True,True,True,1014,0.0,0.0,47.92,70.92,34.5,13.6,234,1112,
"=A118+IF(H119=H118,I119-I118,I119)/86400000","=IF(H119=H118,I119-I118,I119)",,,current,117,True,578202819,35241577,True,True,True,True,True,1014,0.002,0.066,48.44,70.08,34.5,13.6,225,1115,
"=A119+IF(H120=H119,I120-I119,I120)/86400000","=IF(H120=H119,I120-I119,I120)",高温需关注,空气温度达到或超过 50°C；请结合安装位置和日照判断,current,118,True,578202819,35542585,True,True,True,True,True,1014,0.0,0.0,50.24,70.13,34.5,13.5,215,668,
"=A120+IF(H121=H120,I121-I120,I121)/86400000","=IF(H121=H120,I121-I120,I121)",,,current,119,True,578202819,35843535,True,True,True,True,True,1014,0.0,0.0,49.79,69.36,34.7,13.5,205,143,
"=A121+IF(H122=H121,I122-I121,I122)/86400000","=IF(H122=H121,I122-I121,I122)",,,current,120,True,578202819,36144490,True,True,True,True,True,1014,0.006,0.165,49.95,69.2,34.8,13.5,168,135,
"=A122+IF(H123=H122,I123-I122,I123)/86400000","=IF(H123=H122,I123-I122,I123)",,,current,121,True,578202819,36445448,True,True,True,True,True,1014,0.0,0.0,47.07,68.39,34.8,13.5,181,119,
"=A123+IF(H124=H123,I124-I123,I124)/86400000","=IF(H124=H123,I124-I123,I124)",,,current,122,True,578202819,36746408,True,True,True,True,True,1013,0.0,0.0,48.21,67.76,35.0,13.5,192,118,
"=A124+IF(H125=H124,I125-I124,I125)/86400000","=IF(H125=H124,I125-I124,I125)",,,current,123,True,578202819,37047369,True,True,True,True,True,1013,0.0,0.0,47.85,67.49,35.1,13.5,202,266,
"=A125+IF(H126=H125,I126-I125,I126)/86400000","=IF(H126=H125,I126-I125,I126)",,,current,124,True,578202819,37348331,True,True,True,True,True,1013,0.0,0.0,47.23,66.96,35.0,13.4,159,340,
"=A126+IF(H127=H126,I127-I126,I127)/86400000","=IF(H127=H126,I127-I126,I127)",,,current,125,True,578202819,37649296,True,True,True,True,True,1013,0.0,0.0,45.76,66.35,34.9,13.4,138,206,
"=A127+IF(H128=H127,I128-I127,I128)/86400000","=IF(H128=H127,I128-I127,I128)",,,current,126,True,578202819,37950260,True,True,True,True,True,1013,0.0,0.0,41.3,65.42,34.8,13.4,128,122,
"=A128+IF(H129=H128,I129-I128,I129)/86400000","=IF(H129=H128,I129-I128,I129)",,,current,127,True,578202819,38251227,True,True,True,True,True,1013,0.012,0.33,40.32,64.76,34.7,13.4,122,337,
"=A129+IF(H130=H129,I130-I129,I130)/86400000","=IF(H130=H129,I130-I129,I130)",,,current,128,True,578202819,38552197,True,True,True,True,True,1013,0.0,0.0,39.3,64.19,34.5,13.4,112,118,
"=A130+IF(H131=H130,I131-I130,I131)/86400000","=IF(H131=H130,I131-I130,I131)",,,current,129,True,578202819,38853170,True,True,True,True,True,1013,0.0,0.0,39.74,63.98,34.5,13.3,107,209,
"=A131+IF(H132=H131,I132-I131,I132)/86400000","=IF(H132=H131,I132-I131,I132)",,,current,130,True,578202819,39154141,True,True,True,True,True,1013,0.0,0.0,40.11,63.97,34.4,13.3,105,216,
"=A132+IF(H133=H132,I133-I132,I133)/86400000","=IF(H133=H132,I133-I132,I133)",,,current,131,True,578202819,39455117,True,True,True,True,True,1013,0.0,0.0,40.13,63.75,34.4,13.3,104,176,
"=A133+IF(H134=H133,I134-I133,I134)/86400000","=IF(H134=H133,I134-I133,I134)",,,current,132,True,578202819,39756094,True,True,True,True,True,1012,0.023,0.626,40.75,63.71,34.3,13.3,90,123,
"=A134+IF(H135=H134,I135-I134,I135)/86400000","=IF(H135=H134,I135-I134,I135)",,,current,133,True,578202819,40057075,True,True,True,True,True,1013,0.0,0.0,40.52,63.69,34.2,13.2,85,114,
"=A135+IF(H136=H135,I136-I135,I136)/86400000","=IF(H136=H135,I136-I135,I136)",,,current,134,True,578202819,40358085,True,True,True,True,True,1012,0.0,0.0,39.55,63.45,34.2,13.2,83,122,
"=A136+IF(H137=H136,I137-I136,I137)/86400000","=IF(H137=H136,I137-I136,I137)",,,current,135,True,578202819,40659041,True,True,True,True,True,1012,0.021,0.56,39.11,63.02,34.1,13.2,80,115,
"=A137+IF(H138=H137,I138-I137,I138)/86400000","=IF(H138=H137,I138-I137,I138)",,,current,136,True,578202819,40959998,True,True,True,True,True,1012,0.0,0.0,38.9,62.85,34.0,13.2,75,110,
"=A138+IF(H139=H138,I139-I138,I139)/86400000","=IF(H139=H138,I139-I138,I139)",,,current,137,True,578202819,41260956,True,True,True,True,True,1012,0.0,0.0,38.92,62.74,33.9,13.2,61,103,
"=A139+IF(H140=H139,I140-I139,I140)/86400000","=IF(H140=H139,I140-I139,I140)",,,current,138,True,578202819,41561916,True,True,True,True,True,1012,0.0,0.0,38.67,62.59,33.8,13.2,12,45,
"=A140+IF(H141=H140,I141-I140,I141)/86400000","=IF(H141=H140,I141-I140,I141)",,,current,139,True,578202819,41862877,True,True,True,True,True,1012,0.0,0.0,38.13,62.27,33.7,13.2,42,114,
"=A141+IF(H142=H141,I142-I141,I142)/86400000","=IF(H142=H141,I142-I141,I142)",,,current,140,True,578202819,42163841,True,True,True,True,True,1012,0.0,0.0,38.87,62.32,33.7,13.2,69,131,
"=A142+IF(H143=H142,I143-I142,I143)/86400000","=IF(H143=H142,I143-I142,I143)",,,current,141,True,578202819,42464806,True,True,True,True,True,1012,0.0,0.0,38.7,62.29,33.7,13.1,63,125,
"=A143+IF(H144=H143,I144-I143,I144)/86400000","=IF(H144=H143,I144-I143,I144)",,,current,142,True,578202819,42765776,True,True,True,True,True,1012,0.0,0.0,39.35,62.18,33.6,13.1,61,120,
"=A144+IF(H145=H144,I145-I144,I145)/86400000","=IF(H145=H144,I145-I144,I145)",,,current,143,True,578202819,43066748,True,True,True,True,True,1012,0.0,0.0,39.42,62.06,33.6,13.1,59,179,
"=A145+IF(H146=H145,I146-I145,I146)/86400000","=IF(H146=H145,I146-I145,I146)",,,current,144,True,578202819,43367719,True,True,True,True,True,1012,0.0,0.0,39.02,62.03,33.5,13.1,54,187,
"=A146+IF(H147=H146,I147-I146,I147)/86400000","=IF(H147=H146,I147-I146,I147)",,,current,145,True,578202819,43668692,True,True,True,True,True,1012,0.0,0.0,38.93,61.84,33.5,13.1,55,114,
"=A147+IF(H148=H147,I148-I147,I148)/86400000","=IF(H148=H147,I148-I147,I148)",,,current,146,True,578202819,43969668,True,True,True,True,True,1011,0.0,0.0,38.81,61.74,33.4,13.0,57,122,
"=A148+IF(H149=H148,I149-I148,I149)/86400000","=IF(H149=H148,I149-I148,I149)",,,current,147,True,578202819,44270644,True,True,True,True,True,1012,0.0,0.0,38.86,61.57,33.4,13.1,57,124,
"=A149+IF(H150=H149,I150-I149,I150)/86400000","=IF(H150=H149,I150-I149,I150)",,,current,148,True,578202819,44571621,True,True,True,True,True,1011,0.0,0.0,38.98,61.54,33.4,13.0,54,128,
"=A150+IF(H151=H150,I151-I150,I151)/86400000","=IF(H151=H150,I151-I150,I151)",,,current,149,True,578202819,44872601,True,True,True,True,True,1011,0.0,0.0,38.92,61.4,33.4,13.0,54,131,
"=A151+IF(H152=H151,I152-I151,I152)/86400000","=IF(H152=H151,I152-I151,I152)",,,current,150,True,578202819,45173630,True,True,True,True,True,1011,0.0,0.0,38.47,61.16,33.4,13.0,59,144,
"=A152+IF(H153=H152,I153-I152,I153)/86400000","=IF(H153=H152,I153-I152,I153)",,,current,151,True,578202819,45474597,True,True,True,True,True,1011,0.033,0.89,37.58,60.97,33.4,13.0,14,54,
"=A153+IF(H154=H153,I154-I153,I154)/86400000","=IF(H154=H153,I154-I153,I154)",,,current,152,True,578202819,45775566,True,True,True,True,True,1011,0.0,0.0,38.94,60.94,33.4,13.0,59,168,
"=A154+IF(H155=H154,I155-I154,I155)/86400000","=IF(H155=H154,I155-I154,I155)",,,current,153,True,578202819,46076540,True,True,True,True,True,1011,0.053,1.418,39.01,61.15,33.4,13.0,61,271,
"=A155+IF(H156=H155,I156-I155,I156)/86400000","=IF(H156=H155,I156-I155,I156)",,,current,154,True,578202819,46377515,True,True,True,True,True,1012,0.0,0.0,39.54,61.0,33.4,13.0,59,712,
"=A156+IF(H157=H156,I157-I156,I157)/86400000","=IF(H157=H156,I157-I156,I157)",,,current,155,True,578202819,46678491,True,True,True,True,True,1011,0.0,0.0,39.49,60.9,33.4,13.0,56,386,
"=A157+IF(H158=H157,I158-I157,I158)/86400000","=IF(H158=H157,I158-I157,I158)",,,current,156,True,578202819,46979466,True,True,True,True,True,1011,0.0,0.0,39.45,60.93,33.4,13.0,53,385,
"=A158+IF(H159=H158,I159-I158,I159)/86400000","=IF(H159=H158,I159-I158,I159)",,,current,157,True,578202819,47280447,True,True,True,True,True,1011,0.0,0.0,39.6,60.77,33.4,13.0,52,369,
"=A159+IF(H160=H159,I160-I159,I160)/86400000","=IF(H160=H159,I160-I159,I160)",,,current,158,True,578202819,47581429,True,True,True,True,True,1011,0.0,0.0,39.11,60.64,33.4,12.9,13,57,
